Dates,Pollster,Sample,Influence,Democrats,Republicans,Net
"2/21 - 2/22, 2026@@24159",<a href='https://emersoncollegepolling.com/february-2026-national-poll-trump-approval-steady-as-disapproval-rises-vance-leads-gop-field-while-democrats-hold-midterm-edge/'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Emerson College</a>,"1,000 LV@@1000",1.127605,50.4,42.4,8
"2/27 - 3/3, 2026@@24168",<a href='https://www.nbcnews.com/politics/2026-election/poll-trump-struggles-immigration-prices-iran-democrats-midterm-edge-rcna261861'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Hart Research Associates/Public Opinion Strategies</a>^Sponsor: NBC News^,"1,000 RV@@1000",1.105677,50,44,6
"2/24 - 2/26, 2026@@24163",<a href='https://act.americanprinciplesproject.org/p/protect-kids-online/results?access=press'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Cygnal</a>^Sponsor: American Principles Project^,"1,048 LV@@1048",1.061452,48.3,44.6,3.700001
"2/19 - 2/23, 2026@@24160",<a href='https://echeloninsights.com/in-the-news/february-2026-verified-voter-omnibus/'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Echelon Insights</a>,"1,002 LV@@1002",1.045197,50,46,4
"1/27 - 1/29, 2026@@24135",<a href='https://issuesinsights.com/2026/02/16/who-leads-in-2028-presidential-race-and-in-2026-midterm-elections-ii-tipp-poll/'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>TIPP Insights</a>^Sponsor: Issues & Insights^,"1,126 RV@@1126",1.019989,45,42,3
"1/12 - 1/17, 2026@@24123",<a href='https://www.nytimes.com/interactive/2026/01/22/polls/times-siena-national-poll-toplines.html'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>The New York Times/Siena College</a>,"1,625 RV@@1625",1.005046,48,43,5
"2/3 - 2/4, 2026@@24141",<a href='https://www.cygn.al/wp-content/uploads/2026/02/23572-Cygnal-National-NVT-Feb26-Deck-Public.pdf'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Cygnal</a>,"1,500 LV@@1500",0.953162,47.8,44.4,3.399998
"1/21 - 1/28, 2026@@24134",<a href='https://law.marquette.edu/poll/2026/02/04/detailed-results-of-the-marquette-law-school-supreme-court-poll-jan-21-28-2025-national-issues/'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Marquette University Law School</a>,577 LV@@577,0.9365216,52,45,7
"1/23 - 1/26, 2026@@24132",<a href='https://www.foxnews.com/politics/fox-news-poll-early-look-2026-midterms'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Beacon Research/Shaw & Company Research</a>^Sponsor: FOX News^,"1,005 RV@@1005",0.8907176,52,46,6
"2/4 - 2/5, 2026@@24142",<a href='https://johnzogbystrategies.com/the-presidents-approval-ratings-underwater-on-overall-job-all-key-voter-issues/'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>John Zogby Strategies</a>,"1,000 LV@@1000",0.8455706,46.9,41.2,5.700001
"1/7 - 1/14, 2026@@24120",<a href='https://www.rasmussenreports.com/public_content/archive/mood_of_america_archive/generic_congressional_ballot/democrats_increase_advantage_in_midterm_forecast'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Rasmussen Reports</a>,"2,273 LV@@2273",0.8294563,47,41,6
"2/4 - 2/10, 2026@@24147",<a href='https://www.theargumentmag.com/p/the-trans-rights-backlash-is-real'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>The Argument/Verasight</a>,"3,003 RV@@3003",0.8192267,53,47,6
"2/25 - 2/26, 2026@@24163",<a href='https://harvardharrispoll.com/key-results-february-2026/'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>HarrisX</a>^Sponsor: Harvard CAPS^,"1,560 LV@@1560",0.8154379,50,50,0
"1/17 - 1/19, 2026@@24125",<a href='https://emersoncollegepolling.com/january-2026-national-poll/'style='color:#000000; text-decoration: underline;'target='_blank' rel='nofollow noopener'>Emerson College</a>,"1,000 LV@@1000",0.7672604,48.1,41.7,6.399998
