r_seats,margin_diff,prob
160,-0.1,1e-4
166,-0.1,3e-4
167,-0.1,5e-4
168,-0.1,6e-4
169,-0.1,0.0012
170,-0.1,0.0023
171,-0.1,0.0038
172,-0.1,0.0042
173,-0.1,0.0059
174,-0.1,0.0078
175,-0.1,0.0106
176,-0.1,0.0175
177,-0.1,0.0214
178,-0.1,0.0288
179,-0.1,0.0361
180,-0.1,0.0405
181,-0.1,0.0489
182,-0.1,0.0546
183,-0.1,0.0651
184,-0.1,0.0645
185,-0.1,0.0633
186,-0.1,0.0709
187,-0.1,0.0713
188,-0.1,0.0648
189,-0.1,0.0572
190,-0.1,0.0513
191,-0.1,0.047
192,-0.1,0.0385
193,-0.1,0.0328
194,-0.1,0.026
195,-0.1,0.0192
196,-0.1,0.0142
197,-0.1,0.0107
198,-0.1,0.0075
199,-0.1,0.0045
200,-0.1,0.0026
201,-0.1,0.002
202,-0.1,3e-4
203,-0.1,4e-4
204,-0.1,2e-4
205,-0.1,3e-4
206,-0.1,3e-4
165,-0.09000000000000001,1e-4
168,-0.09000000000000001,2e-4
169,-0.09000000000000001,2e-4
170,-0.09000000000000001,3e-4
172,-0.09000000000000001,7e-4
173,-0.09000000000000001,0.0013
174,-0.09000000000000001,0.0018
175,-0.09000000000000001,0.0028
176,-0.09000000000000001,0.0051
177,-0.09000000000000001,0.0051
178,-0.09000000000000001,0.0093
179,-0.09000000000000001,0.0132
180,-0.09000000000000001,0.0175
181,-0.09000000000000001,0.0232
182,-0.09000000000000001,0.0287
183,-0.09000000000000001,0.039
184,-0.09000000000000001,0.0438
185,-0.09000000000000001,0.0502
186,-0.09000000000000001,0.0586
187,-0.09000000000000001,0.0656
188,-0.09000000000000001,0.0721
189,-0.09000000000000001,0.0707
190,-0.09000000000000001,0.0712
191,-0.09000000000000001,0.068
192,-0.09000000000000001,0.06
193,-0.09000000000000001,0.0565
194,-0.09000000000000001,0.0486
195,-0.09000000000000001,0.0414
196,-0.09000000000000001,0.0362
197,-0.09000000000000001,0.0294
198,-0.09000000000000001,0.0278
199,-0.09000000000000001,0.0186
200,-0.09000000000000001,0.0108
201,-0.09000000000000001,0.0082
202,-0.09000000000000001,0.0051
203,-0.09000000000000001,0.0032
204,-0.09000000000000001,0.002
205,-0.09000000000000001,0.0016
206,-0.09000000000000001,6e-4
207,-0.09000000000000001,6e-4
208,-0.09000000000000001,3e-4
209,-0.09000000000000001,1e-4
210,-0.09000000000000001,1e-4
211,-0.09000000000000001,1e-4
213,-0.09000000000000001,1e-4
173,-0.08,1e-4
174,-0.08,2e-4
175,-0.08,5e-4
176,-0.08,5e-4
177,-0.08,0.0017
178,-0.08,0.0023
179,-0.08,0.0037
180,-0.08,0.0034
181,-0.08,0.0075
182,-0.08,0.0102
183,-0.08,0.0153
184,-0.08,0.0187
185,-0.08,0.0267
186,-0.08,0.0355
187,-0.08,0.0399
188,-0.08,0.0498
189,-0.08,0.0555
190,-0.08,0.0619
191,-0.08,0.0703
192,-0.08,0.0749
193,-0.08,0.0738
194,-0.08,0.0724
195,-0.08,0.0663
196,-0.08,0.0623
197,-0.08,0.0491
198,-0.08,0.0508
199,-0.08,0.038
200,-0.08,0.0317
201,-0.08,0.0237
202,-0.08,0.0174
203,-0.08,0.0123
204,-0.08,0.0101
205,-0.08,0.0055
206,-0.08,0.0032
207,-0.08,0.0026
208,-0.08,0.0014
209,-0.08,6e-4
210,-0.08,1e-4
211,-0.08,1e-4
175,-0.07,1e-4
177,-0.07,2e-4
178,-0.07,3e-4
179,-0.07,7e-4
180,-0.07,6e-4
181,-0.07,0.0015
182,-0.07,0.0023
183,-0.07,0.0036
184,-0.07,0.0069
185,-0.07,0.0085
186,-0.07,0.0116
187,-0.07,0.0171
188,-0.07,0.0217
189,-0.07,0.0302
190,-0.07,0.036
191,-0.07,0.0472
192,-0.07,0.0551
193,-0.07,0.0611
194,-0.07,0.0685
195,-0.07,0.0768
196,-0.07,0.0726
197,-0.07,0.0731
198,-0.07,0.0742
199,-0.07,0.069
200,-0.07,0.0598
201,-0.07,0.0489
202,-0.07,0.0402
203,-0.07,0.0334
204,-0.07,0.0261
205,-0.07,0.016
206,-0.07,0.0135
207,-0.07,0.0083
208,-0.07,0.0062
209,-0.07,0.0042
210,-0.07,0.0022
211,-0.07,0.0015
212,-0.07,8e-4
178,-0.060000000000000005,1e-4
181,-0.060000000000000005,2e-4
182,-0.060000000000000005,2e-4
183,-0.060000000000000005,0.001
184,-0.060000000000000005,0.0011
185,-0.060000000000000005,0.0022
186,-0.060000000000000005,0.0023
187,-0.060000000000000005,0.0055
188,-0.060000000000000005,0.0094
189,-0.060000000000000005,0.0113
190,-0.060000000000000005,0.0159
191,-0.060000000000000005,0.0222
192,-0.060000000000000005,0.028
193,-0.060000000000000005,0.0359
194,-0.060000000000000005,0.0465
195,-0.060000000000000005,0.0525
196,-0.060000000000000005,0.0622
197,-0.060000000000000005,0.0713
198,-0.060000000000000005,0.0707
199,-0.060000000000000005,0.0753
200,-0.060000000000000005,0.0761
201,-0.060000000000000005,0.0768
202,-0.060000000000000005,0.0696
203,-0.060000000000000005,0.0606
204,-0.060000000000000005,0.053
205,-0.060000000000000005,0.0427
206,-0.060000000000000005,0.0338
207,-0.060000000000000005,0.0237
208,-0.060000000000000005,0.0179
209,-0.060000000000000005,0.0115
210,-0.060000000000000005,0.0099
211,-0.060000000000000005,0.0052
212,-0.060000000000000005,0.0028
213,-0.060000000000000005,9e-4
214,-0.060000000000000005,0.001
215,-0.060000000000000005,3e-4
216,-0.060000000000000005,3e-4
220,-0.060000000000000005,1e-4
178,-0.05,1e-4
184,-0.05,2e-4
185,-0.05,5e-4
186,-0.05,2e-4
187,-0.05,9e-4
188,-0.05,0.0012
189,-0.05,0.0026
190,-0.05,0.0047
191,-0.05,0.0072
192,-0.05,0.0099
193,-0.05,0.0142
194,-0.05,0.0183
195,-0.05,0.0265
196,-0.05,0.0371
197,-0.05,0.0472
198,-0.05,0.055
199,-0.05,0.0642
200,-0.05,0.0717
201,-0.05,0.0779
202,-0.05,0.0754
203,-0.05,0.0843
204,-0.05,0.0748
205,-0.05,0.0687
206,-0.05,0.0614
207,-0.05,0.0512
208,-0.05,0.0444
209,-0.05,0.0346
210,-0.05,0.0231
211,-0.05,0.0157
212,-0.05,0.012
213,-0.05,0.0068
214,-0.05,0.0037
215,-0.05,0.002
216,-0.05,0.001
217,-0.05,8e-4
218,-0.05,4e-4
220,-0.05,1e-4
184,-0.04000000000000001,1e-4
186,-0.04000000000000001,2e-4
187,-0.04000000000000001,1e-4
188,-0.04000000000000001,3e-4
189,-0.04000000000000001,3e-4
190,-0.04000000000000001,0.001
191,-0.04000000000000001,0.0019
192,-0.04000000000000001,0.0022
193,-0.04000000000000001,0.0025
194,-0.04000000000000001,0.0073
195,-0.04000000000000001,0.0105
196,-0.04000000000000001,0.0138
197,-0.04000000000000001,0.0209
198,-0.04000000000000001,0.0251
199,-0.04000000000000001,0.0341
200,-0.04000000000000001,0.0452
201,-0.04000000000000001,0.0569
202,-0.04000000000000001,0.0674
203,-0.04000000000000001,0.0713
204,-0.04000000000000001,0.0777
205,-0.04000000000000001,0.0882
206,-0.04000000000000001,0.0819
207,-0.04000000000000001,0.0759
208,-0.04000000000000001,0.0702
209,-0.04000000000000001,0.0629
210,-0.04000000000000001,0.0509
211,-0.04000000000000001,0.0404
212,-0.04000000000000001,0.0304
213,-0.04000000000000001,0.024
214,-0.04000000000000001,0.0157
215,-0.04000000000000001,0.0095
216,-0.04000000000000001,0.0052
217,-0.04000000000000001,0.003
218,-0.04000000000000001,0.0014
219,-0.04000000000000001,7e-4
220,-0.04000000000000001,5e-4
221,-0.04000000000000001,3e-4
222,-0.04000000000000001,1e-4
191,-0.03,3e-4
192,-0.03,2e-4
193,-0.03,7e-4
194,-0.03,0.0013
195,-0.03,0.0027
196,-0.03,0.0043
197,-0.03,0.0074
198,-0.03,0.0091
199,-0.03,0.0129
200,-0.03,0.0216
201,-0.03,0.0278
202,-0.03,0.0378
203,-0.03,0.0461
204,-0.03,0.0593
205,-0.03,0.0662
206,-0.03,0.0842
207,-0.03,0.0848
208,-0.03,0.0889
209,-0.03,0.085
210,-0.03,0.0801
211,-0.03,0.0712
212,-0.03,0.0611
213,-0.03,0.0456
214,-0.03,0.0355
215,-0.03,0.0247
216,-0.03,0.0173
217,-0.03,0.0104
218,-0.03,0.007
219,-0.03,0.0035
220,-0.03,0.0015
221,-0.03,9e-4
222,-0.03,4e-4
223,-0.03,1e-4
224,-0.03,1e-4
188,-0.020000000000000004,1e-4
193,-0.020000000000000004,1e-4
194,-0.020000000000000004,1e-4
195,-0.020000000000000004,2e-4
196,-0.020000000000000004,0.001
197,-0.020000000000000004,0.0012
198,-0.020000000000000004,0.0028
199,-0.020000000000000004,0.004
200,-0.020000000000000004,0.0054
201,-0.020000000000000004,0.0099
202,-0.020000000000000004,0.0165
203,-0.020000000000000004,0.0208
204,-0.020000000000000004,0.0284
205,-0.020000000000000004,0.0398
206,-0.020000000000000004,0.0551
207,-0.020000000000000004,0.0646
208,-0.020000000000000004,0.075
209,-0.020000000000000004,0.0802
210,-0.020000000000000004,0.0918
211,-0.020000000000000004,0.0909
212,-0.020000000000000004,0.0872
213,-0.020000000000000004,0.0798
214,-0.020000000000000004,0.0665
215,-0.020000000000000004,0.0529
216,-0.020000000000000004,0.0405
217,-0.020000000000000004,0.0355
218,-0.020000000000000004,0.0222
219,-0.020000000000000004,0.0122
220,-0.020000000000000004,0.0081
221,-0.020000000000000004,0.0037
222,-0.020000000000000004,0.0018
223,-0.020000000000000004,8e-4
224,-0.020000000000000004,6e-4
225,-0.020000000000000004,3e-4
196,-0.010000000000000009,1e-4
197,-0.010000000000000009,1e-4
198,-0.010000000000000009,3e-4
199,-0.010000000000000009,0.001
200,-0.010000000000000009,0.0015
201,-0.010000000000000009,0.0018
202,-0.010000000000000009,0.0039
203,-0.010000000000000009,0.0083
204,-0.010000000000000009,0.0095
205,-0.010000000000000009,0.0164
206,-0.010000000000000009,0.0247
207,-0.010000000000000009,0.0362
208,-0.010000000000000009,0.0459
209,-0.010000000000000009,0.057
210,-0.010000000000000009,0.0728
211,-0.010000000000000009,0.0776
212,-0.010000000000000009,0.0924
213,-0.010000000000000009,0.0961
214,-0.010000000000000009,0.0954
215,-0.010000000000000009,0.0831
216,-0.010000000000000009,0.0762
217,-0.010000000000000009,0.0641
218,-0.010000000000000009,0.0448
219,-0.010000000000000009,0.0347
220,-0.010000000000000009,0.0229
221,-0.010000000000000009,0.0147
222,-0.010000000000000009,0.0089
223,-0.010000000000000009,0.0053
224,-0.010000000000000009,0.0029
225,-0.010000000000000009,8e-4
226,-0.010000000000000009,4e-4
227,-0.010000000000000009,1e-4
228,-0.010000000000000009,1e-4
198,0,1e-4
199,0,1e-4
200,0,2e-4
201,0,2e-4
202,0,5e-4
203,0,0.002
204,0,0.0031
205,0,0.0034
206,0,0.0094
207,0,0.0148
208,0,0.0202
209,0,0.0316
210,0,0.0392
211,0,0.0495
212,0,0.0697
213,0,0.0802
214,0,0.0967
215,0,0.0907
216,0,0.0981
217,0,0.0934
218,0,0.0824
219,0,0.0668
220,0,0.0531
221,0,0.0363
222,0,0.0265
223,0,0.0153
224,0,0.0081
225,0,0.0044
226,0,0.0021
227,0,0.0012
228,0,4e-4
229,0,2e-4
230,0,1e-4
199,0.009999999999999995,1e-4
201,0.009999999999999995,1e-4
202,0.009999999999999995,4e-4
204,0.009999999999999995,4e-4
205,0.009999999999999995,0.0011
206,0.009999999999999995,0.0021
207,0.009999999999999995,0.0033
208,0.009999999999999995,0.0067
209,0.009999999999999995,0.0101
210,0.009999999999999995,0.0148
211,0.009999999999999995,0.0266
212,0.009999999999999995,0.0371
213,0.009999999999999995,0.0508
214,0.009999999999999995,0.0627
215,0.009999999999999995,0.0777
216,0.009999999999999995,0.0953
217,0.009999999999999995,0.0967
218,0.009999999999999995,0.0983
219,0.009999999999999995,0.0975
220,0.009999999999999995,0.0872
221,0.009999999999999995,0.0743
222,0.009999999999999995,0.0572
223,0.009999999999999995,0.0389
224,0.009999999999999995,0.0245
225,0.009999999999999995,0.0166
226,0.009999999999999995,0.0099
227,0.009999999999999995,0.0057
228,0.009999999999999995,0.0026
229,0.009999999999999995,0.001
230,0.009999999999999995,2e-4
232,0.009999999999999995,1e-4
205,0.01999999999999999,3e-4
206,0.01999999999999999,4e-4
207,0.01999999999999999,9e-4
208,0.01999999999999999,0.0015
209,0.01999999999999999,0.0025
210,0.01999999999999999,0.0057
211,0.01999999999999999,0.0074
212,0.01999999999999999,0.0138
213,0.01999999999999999,0.0211
214,0.01999999999999999,0.0359
215,0.01999999999999999,0.0449
216,0.01999999999999999,0.0624
