forecast_date,party,prob_majority,seats_pct_05,seats_avg,seats_pct_95
2026-04-19,dem,0.0742,43,46.7527,51
2026-04-19,ind,0,0,0.016,0
2026-04-19,rep,0.9233,49,53.2313,57
2026-04-20,dem,0.0967,42,46.7953,51
2026-04-20,ind,0,0,0.0204,0
2026-04-20,rep,0.9008,48,53.1843,58
2026-04-21,dem,0.1528,42,47.4058,52
2026-04-21,ind,0,0,0.0283,0
2026-04-21,rep,0.8428,48,52.5659,58
2026-04-22,dem,0.1719,43,47.6362,53
2026-04-22,ind,0,0,0.0332,0
2026-04-22,rep,0.8226,47,52.3306,57
2026-04-23,dem,0.1636,42,47.4558,52
2026-04-23,ind,0,0,0.031,0
2026-04-23,rep,0.8321,47,52.5132,58
2026-04-24,dem,0.166,43,47.6532,53
2026-04-24,ind,0,0,0.0299,0
2026-04-24,rep,0.8309,47,52.3169,57
2026-04-25,dem,0.1906,43,47.8992,53
2026-04-25,ind,0,0,0.0422,0
2026-04-25,rep,0.8032,47,52.0586,57
2026-04-26,dem,0.1915,43,47.9185,53
2026-04-26,ind,0,0,0.0349,0
2026-04-26,rep,0.8037,47,52.0466,57
2026-04-27,dem,0.1932,43,47.9675,53
2026-04-27,ind,0,0,0.0355,0
2026-04-27,rep,0.8019,47,51.997,57
2026-04-28,dem,0.164,43,47.7356,52
2026-04-28,ind,0,0,0.0256,0
2026-04-28,rep,0.833,48,52.2388,57
2026-04-29,dem,0.2731,44,48.7395,53
2026-04-29,ind,0,0,0.0339,0
2026-04-29,rep,0.7222,47,51.2266,56
2026-04-30,dem,0.2921,44,48.8932,53.05
2026-04-30,ind,0,0,0.0414,0
2026-04-30,rep,0.7031,46,51.0654,56
2026-05-01,dem,0.3834,45,49.5356,54
2026-05-01,ind,0,0,0.0519,1
2026-05-01,rep,0.6115,46,50.4125,55
2026-05-02,dem,0.4049,45,49.7335,54
2026-05-02,ind,0,0,0.0611,1
2026-05-02,rep,0.589,46,50.2054,55
2026-05-03,dem,0.3203,44,49.1481,54
2026-05-03,ind,0,0,0.047,0
2026-05-03,rep,0.6753,46,50.8049,56
2026-05-04,dem,0.3442,44,49.3323,54
2026-05-04,ind,0,0,0.0475,0
2026-05-04,rep,0.6502,46,50.6202,56
2026-05-05,dem,0.3527,44,49.3595,54
2026-05-05,ind,0,0,0.0512,1
2026-05-05,rep,0.6416,46,50.5893,56
2026-05-06,dem,0.358,45,49.3935,54
2026-05-06,ind,0,0,0.0533,1
2026-05-06,rep,0.6361,46,50.5532,55
2026-05-07,dem,0.2708,44,48.6772,53
2026-05-07,ind,0,0,0.0362,0
2026-05-07,rep,0.7237,46,51.2866,56
2026-05-08,dem,0.2651,44,48.6164,53
2026-05-08,ind,0,0,0.034,0
2026-05-08,rep,0.7296,46,51.3496,56
2026-05-09,dem,0.2694,44,48.6507,53
2026-05-09,ind,0,0,0.0373,0
2026-05-09,rep,0.7264,46,51.312,56
2026-05-10,dem,0.2694,44,48.6507,53
2026-05-10,ind,0,0,0.0373,0
2026-05-10,rep,0.7264,46,51.312,56
2026-05-11,dem,0.3159,44,49.0439,54
2026-05-11,ind,0,0,0.0442,0
2026-05-11,rep,0.6794,46,50.9119,56
2026-05-12,dem,0.3076,44,49.0036,54
2026-05-12,ind,0,0,0.0941,1
2026-05-12,rep,0.6793,46,50.9023,56
2026-05-13,dem,0.2928,44,48.8895,54
2026-05-13,ind,0,0,0.0981,1
2026-05-13,rep,0.6951,46,51.0124,56
2026-05-14,dem,0.2732,44,48.7574,53
2026-05-14,ind,0,0,0.092,1
2026-05-14,rep,0.715,46,51.1506,56
2026-05-15,dem,0.2679,44,48.7212,53
2026-05-15,ind,0,0,0.0927,1
2026-05-15,rep,0.7186,46,51.1861,56
2026-05-16,dem,0.2655,44,48.7402,53
2026-05-16,ind,0,0,0.0981,1
2026-05-16,rep,0.7223,46,51.1617,56
2026-05-17,dem,0.273,44,48.7425,53
2026-05-17,ind,0,0,0.0919,1
2026-05-17,rep,0.7153,46,51.1656,56
2026-05-18,dem,0.3028,44,48.972,54
2026-05-18,ind,0,0,0.0991,1
2026-05-18,rep,0.6835,46,50.9289,56
2026-05-19,dem,0.2884,44,48.7966,54
2026-05-19,ind,0,0,0.0982,1
2026-05-19,rep,0.7004,46,51.1052,56
2026-05-20,dem,0.3379,44,49.1592,54
2026-05-20,ind,0,0,0.0987,1
2026-05-20,rep,0.6505,46,50.7421,56
2026-05-21,dem,0.3455,44,49.2334,54
2026-05-21,ind,0,0,0.1015,1
2026-05-21,rep,0.6411,46,50.6651,56
2026-05-22,dem,0.4022,45,49.6925,54
2026-05-22,ind,0,0,0.1279,1
2026-05-22,rep,0.5864,45,50.1796,55
2026-05-23,dem,0.3692,44,49.4355,54
2026-05-23,ind,0,0,0.1113,1
2026-05-23,rep,0.6178,46,50.4532,56
2026-05-24,dem,0.3499,44,49.2511,54
2026-05-24,ind,0,0,0.1007,1
2026-05-24,rep,0.6378,46,50.6482,56
2026-05-25,dem,0.345,44,49.2115,54
2026-05-25,ind,0,0,0.0972,1
2026-05-25,rep,0.6438,46,50.6913,56
2026-05-26,dem,0.3466,45,49.3305,54
2026-05-26,ind,0,0,0.1038,1
2026-05-26,rep,0.6392,46,50.5657,55
2026-05-27,dem,0.3399,44,49.22,54
2026-05-27,ind,0,0,0.107,1
2026-05-27,rep,0.6461,46,50.673,56
2026-05-28,dem,0.3532,45,49.3833,54
2026-05-28,ind,0,0,0.1027,1
2026-05-28,rep,0.6361,46,50.514,55
2026-05-29,dem,0.5393,46,50.6849,55
2026-05-29,ind,0,0,0.1539,1
2026-05-29,rep,0.4487,45,49.1612,54
2026-05-30,dem,0.5509,46,50.7383,55
2026-05-30,ind,0,0,0.1849,1
2026-05-30,rep,0.4315,45,49.0768,54
2026-05-31,dem,0.5683,46,50.886,55
2026-05-31,ind,0,0,0.185,1
2026-05-31,rep,0.4176,44,48.929,54
2026-06-01,dem,0.4853,46,50.2985,55
2026-06-01,ind,0,0,0.1496,1
2026-06-01,rep,0.5012,45,49.5519,54
2026-06-02,dem,0.4476,45,50.0492,54
2026-06-02,ind,0,0,0.1441,1
2026-06-02,rep,0.5376,45,49.8067,55
2026-06-03,dem,0.4626,45,50.1783,54
2026-06-03,ind,0,0,0.1494,1
2026-06-03,rep,0.5215,45,49.6723,55
2026-06-04,dem,0.4307,45,49.8708,54
2026-06-04,ind,0,0,0.1267,1
2026-06-04,rep,0.5547,45,50.0025,55
2026-06-05,dem,0.4243,45,49.7682,54
2026-06-05,ind,0,0,0.1239,1
2026-06-05,rep,0.5615,45,50.1079,55
2026-06-06,dem,0.4113,45,49.8033,54
2026-06-06,ind,0,0,0.125,1
2026-06-06,rep,0.5755,45,50.0717,55
2026-06-07,dem,0.3839,45,49.5789,54
2026-06-07,ind,0,0,0.1128,1
2026-06-07,rep,0.6029,46,50.3083,55
2026-06-08,dem,0.3807,45,49.5583,54
2026-06-08,ind,0,0,0.1196,1
2026-06-08,rep,0.6053,46,50.3221,55
2026-06-09,dem,0.2981,44,48.8168,54
2026-06-09,ind,0,0,0.0908,1
2026-06-09,rep,0.6892,46,51.0924,56
2026-06-10,dem,0.2981,44,48.8168,54
2026-06-10,ind,0,0,0.0908,1
2026-06-10,rep,0.6892,46,51.0924,56
2026-06-11,dem,0.2981,44,48.8168,54
2026-06-11,ind,0,0,0.0908,1
2026-06-11,rep,0.6892,46,51.0924,56
2026-06-12,dem,0.2981,44,48.8168,54
2026-06-12,ind,0,0,0.0908,1
2026-06-12,rep,0.6892,46,51.0924,56
2026-06-13,dem,0.2981,44,48.8168,54
2026-06-13,ind,0,0,0.0908,1
2026-06-13,rep,0.6892,46,51.0924,56
2026-06-14,dem,0.2981,44,48.8168,54
2026-06-14,ind,0,0,0.0908,1
2026-06-14,rep,0.6892,46,51.0924,56
2026-06-15,dem,0.2822,44,48.7455,53
2026-06-15,ind,0,0,0.0914,1
2026-06-15,rep,0.7055,46,51.1631,56
2026-06-16,dem,0.2764,44,48.6979,53
2026-06-16,ind,0,0,0.0918,1
