state,seat_name,r_prob,phi,dem_cond_increase,rep_cond_increase,total_cond_increase
Alabama,Class II,0.9917,0.07140278271334123,0.37239156626506026,0.0031167187657558104,0.37550828503081607
Alaska,Class II,0.6671,0.5110979992046456,0.3452044157404626,0.1722658521960726,0.5174702679365353
Arkansas,Class II,0.9956,0.020830106867812958,0.14950000000000002,6.607071112897378e-4,0.15016070711128976
Colorado,Class II,0.0469,0.11339082970619435,0.012001311509810098,0.2438901918976546,0.2558915034074647
Delaware,Class II,0.011,0.05737914693963964,0.0028872598584429032,0.2595909090909091,0.262478168949352
Florida,Class III,0.703,0.5242789895497503,0.38485353535353534,0.16259103840682787,0.5474445737603633
Georgia,Class II,0.1193,0.25097349900353366,0.04407249914840472,0.32535331098072096,0.3694258101291257
Idaho,Class II,1,NA,NA,0,NA
Illinois,Class II,0.0696,0.13997258994183334,0.018266122098022364,0.24417816091954025,0.2624442830175626
Iowa,Class II,0.6759,0.48632578293329143,0.335090867016353,0.16067902056517236,0.49576988758152535
Kansas,Class II,0.953,0.14385733820894145,0.30907446808510636,0.01524291710388248,0.32431738518898884
Kentucky,Class II,0.9932,0.07183213492410415,0.41420588235294115,0.002835884011276768,0.4170417663642179
Louisiana,Class II,0.9806,0.12156984821234468,0.4123865979381443,0.008158576381807059,0.42054517431995136
Maine,Class II,0.3189,0.3996783626103483,0.13048663926002058,0.2786906553778614,0.409177294637882
Massachusetts,Class II,0,NA,0,NA,NA
Michigan,Class II,0.4406,0.28340109356577503,0.12000411154808727,0.1523610985020427,0.27236521005013
Minnesota,Class II,0.1795,0.29935900709556645,0.06680652041438151,0.305374651810585,0.3721811722249665
Mississippi,Class II,0.9825,0.10655226940312788,0.38092857142857145,0.006784987277353771,0.3877135587059252
Montana,Class II,0.9348,0.18971875412423073,0.3427515337423313,0.023906076166024803,0.3666576099083561
Nebraska,Class II,0.8929,0.22475210929425013,0.3096307189542484,0.03713904132601642,0.3467697602802648
New Hampshire,Class II,0.1,0.23369061877967737,0.03716666666666668,0.3345,0.3716666666666667
New Jersey,Class II,0.0522,0.13564933286439976,0.015188963916438092,0.27578735632183915,0.29097632023827724
New Mexico,Class II,0.0955,0.15669128935167626,0.024292703150912143,0.2300811518324608,0.25437385498337295
North Carolina,Class II,0.1286,0.26279712591641363,0.04816880881340374,0.32639424572317266,0.3745630545365764
Ohio,Class III,0.4667,0.48387431728423597,0.21597290455653478,0.2467931219198629,0.4627660264763977
Oklahoma,Class II,0.9933,0.08353963723758397,0.48532089552238805,0.003273583006141223,0.4885944785285293
Oregon,Class II,0.0139,0.05857404142740908,0.0033180711895345327,0.23539208633093534,0.23871015752046987
Rhode Island,Class II,0.0046,0.0406463737198962,0.0013183644765923375,0.28528260869565225,0.2866009731722446
South Carolina,Class II,0.9701,0.20945146206200663,0.5692324414715719,0.017544634573755324,0.5867770760453273
South Dakota,Class II,1,NA,NA,0,NA
Tennessee,Class II,0.9994,0.016236351482059697,0.31616666666666665,1.898138883330569e-4,0.3163564805549997
Texas,Class II,0.7159,0.5150321257777348,0.3900843013023583,0.15480227685430925,0.5448865781566676
Virginia,Class II,0.0699,0.14055873553866927,0.018385066121922422,0.244634477825465,0.2630195439473874
West Virginia,Class II,1,NA,NA,0,NA
Wyoming,Class II,0.9999,0.013613421216993316,0.6495,6.495649564963735e-5,0.6495649564956496
